UserID,UserCity,Sex,BirthYear,nPosts,nSpbPosts
1,Санкт-Петербург,Male,1984,77,0
5,Москва,Male,,71,0
6,Санкт-Петербург,Male,,31,0
10,Санкт-Петербург,Male,,46,0
11,Санкт-Петербург,Male,,86,0
16,Санкт-Петербург,Female,1982,58,0
17,Санкт-Петербург,Male,1982,90,0
19,Санкт-Петербург,Female,,58,0
20,Москва,Male,,99,0
21,Санкт-Петербург,Male,1985,98,0
22,Санкт-Петербург,Male,1986,98,0
23,Санкт-Петербург,Male,,48,0
24,Санкт-Петербург,Male,1986,44,0
27,Санкт-Петербург,Female,,6,0
34,Санкт-Петербург,Female,,98,0
36,Москва,Male,1985,92,0
37,Санкт-Петербург,Male,1984,66,0
41,Москва,Male,1986,44,0
42,Санкт-Петербург,Male,,6,0
43,Санкт-Петербург,Male,,3,0
44,Санкт-Петербург,Female,,4,0
46,Санкт-Петербург,Male,1984,48,0
52,Санкт-Петербург,Male,,79,0
55,Москва,Male,1989,77,0
56,Москва,Male,1985,40,0
59,Москва,Female,1985,62,0
62,Санкт-Петербург,Female,,22,0
70,Санкт-Петербург,Male,1984,62,0
74,Санкт-Петербург,Female,1988,71,0
75,Санкт-Петербург,Female,1988,2,0
84,Санкт-Петербург,Male,,58,0
88,Санкт-Петербург,Female,1988,14,0
90,Санкт-Петербург,Female,,2,0
91,Санкт-Петербург,Female,,13,0
92,Санкт-Петербург,Female,,29,0
93,Санкт-Петербург,Female,1984,1,0
94,Санкт-Петербург,Female,1982,4,0
102,Санкт-Петербург,Female,,19,0
103,Санкт-Петербург,Female,,10,0
109,Санкт-Петербург,Female,,44,0
111,Санкт-Петербург,Female,,12,0
113,Санкт-Петербург,Male,1982,32,0
117,Санкт-Петербург,Male,,90,0
121,Санкт-Петербург,Female,1982,94,0
122,Санкт-Петербург,Female,,88,0
138,Санкт-Петербург,Male,1986,95,0
144,Санкт-Петербург,Male,,94,0
146,Санкт-Петербург,Female,1988,57,0
148,Санкт-Петербург,Male,,3,0
150,Москва,Female,,71,0
161,Санкт-Петербург,Female,,98,0
163,Санкт-Петербург,Female,1986,63,0
165,Санкт-Петербург,Male,1985,44,1
166,Санкт-Петербург,Male,1989,77,0
167,Санкт-Петербург,Male,,2,0
168,Санкт-Петербург,Female,1982,73,0
169,Санкт-Петербург,Female,1987,47,0
